id,utilisateur,game_id,equipe_pronostiquee,date_pronostic
1,admin33,42400404,OKC,2025-06-13 08:27:45.017971
7,Polo,42400404,OKC,2025-06-13 10:03:03.635726
8,Polo,42400405,IND,2025-06-13 10:03:07.279231
9,Polo,42400406,IND,2025-06-13 10:03:11.285430
10,Polo,42400407,IND,2025-06-13 10:03:13.711652
20,Tout_Sec,42400404,OKC,2025-06-13 14:39:42.358200
59,Tout_Sec,42400407,IND,2025-06-14 16:15:38.162217
60,admin33,42400407,OKC,2025-06-14 17:12:01.976115
61,Tout_Sec,42400405,OKC,2025-06-14 18:59:14.874732
62,Tout_Sec,42400406,IND,2025-06-14 18:59:33.561386
64,Milk_it,42400405,OKC,2025-06-14 19:42:17.713960
66,admin33,42400405,OKC,2025-06-14 20:51:35.262266
70,admin33,42400406,IND,2025-06-14 23:02:37.145552
