Saison,Date,Heure,Statut Match,gameId,Compétition ,Détail Compétition,# Match Série,Détail Série,Si Nécessaire,Salle,Ville_salle,Etat_salle,évènement,id_team_domicile,id_team_extérieure,équipe_domicile,équipe_extérieure,ville_domicile,ville_extérieure,tricode_domicile,tricode_exterieur,score_domicile,score_exterieur,horodatage_utc
2024-25,04/10/24,18:00,Final,0012400001,Preseason,NBA Abu Dhabi Game,,Neutral Site,false,Etihad Arena,Abu Dhabi,,Global Games,1610612743,1610612738,Nuggets,Celtics,Denver,Boston,DEN,BOS,103,107,2024-10-04T16:00:00Z
2024-25,05/10/24,03:00,Final,0012400002,Preseason,,,,false,Delta Center,Salt Lake City,UT,,1610612762,15020,Jazz,Breakers,Utah,New Zealand,UTA,NZB,116,87,2024-10-05T01:00:00Z
2024-25,05/10/24,04:30,Final,0012400003,Preseason,,,,false,Acrisure Arena,Palm Desert,CA,,1610612747,1610612750,Lakers,Timberwolves,Los Angeles,Minnesota,LAL,MIN,107,124,2024-10-05T02:30:00Z
2024-25,06/10/24,01:00,Final,0012400004,Preseason,,,,false,Stan Sheriff Center,Honolulu,HI,,1610612746,1610612744,Clippers,Warriors,LA,Golden State,LAC,GSW,90,91,2024-10-05T23:00:00Z
2024-25,06/10/24,16:00,Final,0012400005,Preseason,NBA Abu Dhabi Game,,Neutral Site,false,Etihad Arena,Abu Dhabi,,Global Games,1610612738,1610612743,Celtics,Nuggets,Boston,Denver,BOS,DEN,130,104,2024-10-06T14:00:00Z
2024-25,06/10/24,23:00,Final,0012400006,Preseason,,,,false,Spectrum Center,Charlotte,NC,,1610612766,1610612752,Hornets,Knicks,Charlotte,New York,CHA,NYK,109,111,2024-10-06T21:00:00Z
2024-25,07/10/24,01:30,Final,0012400007,Preseason,NBA Montreal Game,,Neutral Site,false,Bell Centre,Montreal,QC,Global Games,1610612761,1610612764,Raptors,Wizards,Toronto,Washington,TOR,WAS,125,98,2024-10-06T23:30:00Z
2024-25,07/10/24,02:00,Final,0012400008,Preseason,,,,false,Little Caesars Arena,Detroit,MI,,1610612765,1610612749,Pistons,Bucks,Detroit,Milwaukee,DET,MIL,120,87,2024-10-07T00:00:00Z
2024-25,07/10/24,03:30,Final,0012400009,Preseason,,,,false,Acrisure Arena,Palm Desert,CA,,1610612747,1610612756,Lakers,Suns,Los Angeles,Phoenix,LAL,PHX,114,118,2024-10-07T01:30:00Z
2024-25,07/10/24,19:30,Final,0012400010,Preseason,,,,false,Smoothie King Center,New Orleans,LA,,1610612740,1610612753,Pelicans,Magic,New Orleans,Orlando,NOP,ORL,106,104,2024-10-07T17:30:00Z
