gameId,gameCode,gameStatusText,dateParis,heureParis,homeTeamId,homeTeamTricode,homeTeamScore,awayTeamId,awayTeamTricode,awayTeamScore,seriesGameNumber,gameLabel,poRoundDesc,ifNecessary
0012400001,20241004/BOSDEN,Final,2024-10-04,18:00,1610612743,DEN,103,1610612738,BOS,107,,Preseason,,False
0012400002,20241004/NZBUTA,Final,2024-10-05,03:00,1610612762,UTA,116,15020,NZB,87,,Preseason,,False
0012400003,20241004/MINLAL,Final,2024-10-05,04:30,1610612747,LAL,107,1610612750,MIN,124,,Preseason,,False
0012400004,20241005/GSWLAC,Final,2024-10-06,01:00,1610612746,LAC,90,1610612744,GSW,91,,Preseason,,False
0012400005,20241006/DENBOS,Final,2024-10-06,16:00,1610612738,BOS,130,1610612743,DEN,104,,Preseason,,False
0012400006,20241006/NYKCHA,Final,2024-10-06,23:00,1610612766,CHA,109,1610612752,NYK,111,,Preseason,,False
0012400007,20241006/WASTOR,Final,2024-10-07,01:30,1610612761,TOR,125,1610612764,WAS,98,,Preseason,,False
0012400008,20241006/MILDET,Final,2024-10-07,02:00,1610612765,DET,120,1610612749,MIL,87,,Preseason,,False
0012400009,20241006/PHXLAL,Final,2024-10-07,03:30,1610612747,LAL,114,1610612756,PHX,118,,Preseason,,False
0012400010,20241007/ORLNOP,Final,2024-10-07,19:30,1610612740,NOP,106,1610612753,ORL,104,,Preseason,,False
0012400011,20241007/NZBPHI,Final,2024-10-08,01:00,1610612755,PHI,139,15020,NZB,84,,Preseason,,False
0012400012,20241007/MEMDAL,Final,2024-10-08,02:00,1610612742,DAL,116,1610612763,MEM,121,,Preseason,,False
0012400013,20241007/OKCSAS,Final,2024-10-08,02:00,1610612759,SAS,107,1610612760,OKC,112,,Preseason,,False
0012400014,20241007/HOUUTA,Final,2024-10-08,03:00,1610612762,UTA,122,1610612745,HOU,113,,Preseason,,False
0012400015,20241008/MIACHA,Final,2024-10-09,01:00,1610612766,CHA,111,1610612748,MIA,108,,Preseason,,False
0012400016,20241008/CHICLE,Final,2024-10-09,01:00,1610612739,CLE,112,1610612741,CHI,116,,Preseason,,False
0012400017,20241008/PHXDET,Final,2024-10-09,01:00,1610612765,DET,97,1610612756,PHX,105,,Preseason,,False
0012400018,20241008/INDATL,Final,2024-10-09,01:30,1610612737,ATL,131,1610612754,IND,130,,Preseason,,False
0012400019,20241008/BKNLAC,Final,2024-10-09,04:30,1610612746,LAC,115,1610612751,BKN,106,,Preseason,,False
0012400020,20241009/WASNYK,Final,2024-10-10,01:30,1610612752,NYK,117,1610612764,WAS,94,,Preseason,,False
0012400021,20241009/HOUOKC,Final/OT,2024-10-10,02:00,1610612760,OKC,113,1610612745,HOU,122,,Preseason,,False
0012400022,20241009/ORLSAS,Final,2024-10-10,02:00,1610612759,SAS,107,1610612753,ORL,97,,Preseason,,False
0012400023,20241009/GSWSAC,Final,2024-10-10,04:30,1610612758,SAC,112,1610612744,GSW,122,,Preseason,,False
0012400024,20241010/INDCLE,Final,2024-10-11,01:00,1610612739,CLE,117,1610612754,IND,129,,Preseason,,False
0012400026,20241010/UTADAL,Final,2024-10-11,02:00,1610612742,DAL,102,1610612762,UTA,107,,Preseason,,False
0012400027,20241010/CHAMEM,Final,2024-10-11,02:00,1610612763,MEM,94,1610612766,CHA,119,,Preseason,,False
0012400028,20241010/LALMIL,Final,2024-10-11,02:00,1610612749,MIL,102,1610612747,LAL,107,,Preseason,,False
