Saison,Année,gameId,gameCode,gameStatusText,dateParis,heureParis,homeTeamId,homeTeamTricode,homeTeamScore,awayTeamId,awayTeamTricode,awayTeamScore,seriesGameNumber,gameLabel,poRoundDesc,ifNecessary
2011-2012,2012,0011100001,20111216/CHIIND,Final,2011-12-17,01:00,1610612754,IND,86,1610612741,CHI,95,,,,False
2011-2012,2012,0011100003,20111216/PHIWAS,Final,2011-12-17,01:00,1610612764,WAS,78,1610612755,PHI,103,,,,False
2011-2012,2012,0011100004,20111216/CLEDET,Final,2011-12-17,01:30,1610612765,DET,87,1610612739,CLE,91,,,,False
2011-2012,2012,0011100002,20111216/NOHMEM,Final,2011-12-17,02:00,1610612763,MEM,90,1610612740,NOH,97,,,,False
2011-2012,2012,0011100005,20111217/NYKNJN,Final,2011-12-17,20:00,1610612751,NJN,83,1610612752,NYK,92,,,,False
2011-2012,2012,0011100006,20111217/SASHOU,Final,2011-12-18,02:00,1610612745,HOU,101,1610612759,SAS,87,,,,False
2011-2012,2012,0011100007,20111217/MILMIN,Final,2011-12-18,02:00,1610612750,MIN,117,1610612749,MIL,96,,,,False
2011-2012,2012,0011100008,20111217/SACGSW,Final,2011-12-18,04:30,1610612744,GSW,107,1610612758,SAC,96,,,,False
2011-2012,2012,0011100009,20111218/BOSTOR,Final,2011-12-18,19:00,1610612761,TOR,75,1610612738,BOS,76,,,,False
2011-2012,2012,0011100010,20111218/ORLMIA,Final,2011-12-19,00:00,1610612748,MIA,118,1610612753,ORL,85,,,,False
2011-2012,2012,0011100011,20111218/OKCDAL,Final,2011-12-19,01:30,1610612742,DAL,92,1610612760,OKC,106,,,,False
2011-2012,2012,0011100012,20111219/ATLCHA,Final,2011-12-20,01:00,1610612766,CHA,79,1610612737,ATL,77,,,,False
2011-2012,2012,0011100013,20111219/UTAPOR,Final,2011-12-20,04:00,1610612757,POR,110,1610612762,UTA,90,,,,False
2011-2012,2012,0011100014,20111219/LACLAL,Final,2011-12-20,04:30,1610612747,LAL,95,1610612746,LAC,114,,,,False
2011-2012,2012,0011100015,20111220/WASPHI,Final,2011-12-21,01:00,1610612755,PHI,101,1610612764,WAS,94,,,,False
2011-2012,2012,0011100016,20111220/DETCLE,Final,2011-12-21,01:00,1610612739,CLE,89,1610612765,DET,90,,,,False
2011-2012,2012,0011100017,20111220/INDCHI,Final,2011-12-21,02:00,1610612741,CHI,93,1610612754,IND,85,,,,False
2011-2012,2012,0011100019,20111220/DALOKC,Final,2011-12-21,02:00,1610612760,OKC,87,1610612742,DAL,83,,,,False
2011-2012,2012,0011100018,20111220/PHXDEN,Final,2011-12-21,03:00,1610612743,DEN,127,1610612756,PHX,110,,,,False
2011-2012,2012,0011100020,20111220/GSWSAC,Final,2011-12-21,04:00,1610612758,SAC,95,1610612744,GSW,91,,,,False
2011-2012,2012,0011100021,20111221/MIAORL,Final,2011-12-22,01:00,1610612753,ORL,104,1610612748,MIA,100,,,,False
2011-2012,2012,0011100024,20111221/TORBOS,Final,2011-12-22,01:30,1610612738,BOS,81,1610612761,TOR,73,,,,False
2011-2012,2012,0011100025,20111221/NJNNYK,Final,2011-12-22,01:30,1610612752,NYK,88,1610612751,NJN,82,,,,False
2011-2012,2012,0011100022,20111221/MEMNOH,Final,2011-12-22,02:00,1610612740,NOH,95,1610612763,MEM,80,,,,False
2011-2012,2012,0011100026,20111221/MINMIL,Final,2011-12-22,02:00,1610612749,MIL,84,1610612750,MIN,85,,,,False
2011-2012,2012,0011100027,20111221/HOUSAS,Final,2011-12-22,02:30,1610612759,SAS,97,1610612745,HOU,95,,,,False
2011-2012,2012,0011100023,20111221/PORUTA,Final,2011-12-22,03:00,1610612762,UTA,92,1610612757,POR,89,,,,False
2011-2012,2012,0011100028,20111221/LALLAC,Final,2011-12-22,04:30,1610612746,LAC,108,1610612747,LAL,103,,,,False
2011-2012,2012,0011100030,20111222/CHAATL,Final,2011-12-23,01:30,1610612737,ATL,92,1610612766,CHA,75,,,,False
2011-2012,2012,0011100029,20111222/DENPHX,Final,2011-12-23,03:00,1610612756,PHX,85,1610612743,DEN,110,,,,False
2011-2012,2012,0021100001,20111225/BOSNYK,Final,2011-12-25,18:00,1610612752,NYK,106,1610612738,BOS,104,,,,False
2011-2012,2012,0021100002,20111225/MIADAL,Final,2011-12-25,20:30,1610612742,DAL,94,1610612748,MIA,105,,,,False
2011-2012,2012,0021100003,20111225/CHILAL,Final,2011-12-25,23:00,1610612747,LAL,87,1610612741,CHI,88,,,,False
2011-2012,2012,0021100004,20111225/ORLOKC,Final,2011-12-26,02:00,1610612760,OKC,97,1610612753,ORL,89,,,,False
2011-2012,2012,0021100005,20111225/LACGSW,Final,2011-12-26,04:30,1610612744,GSW,86,1610612746,LAC,105,,,,False
2011-2012,2012,0021100006,20111226/NJNWAS,Final,2011-12-27,01:00,1610612764,WAS,84,1610612751,NJN,90,,,,False
2011-2012,2012,0021100007,20111226/MILCHA,Final,2011-12-27,01:00,1610612766,CHA,96,1610612749,MIL,95,,,,False
2011-2012,2012,0021100008,20111226/HOUORL,Final,2011-12-27,01:00,1610612753,ORL,104,1610612745,HOU,95,,,,False
2011-2012,2012,0021100009,20111226/TORCLE,Final,2011-12-27,01:00,1610612739,CLE,96,1610612761,TOR,104,,,,False
2011-2012,2012,0021100010,20111226/DETIND,Final,2011-12-27,01:00,1610612754,IND,91,1610612765,DET,79,,,,False
2011-2012,2012,0021100011,20111226/OKCMIN,Final,2011-12-27,02:00,1610612750,MIN,100,1610612760,OKC,104,,,,False
2011-2012,2012,0021100012,20111226/DENDAL,Final,2011-12-27,02:30,1610612742,DAL,93,1610612743,DEN,115,,,,False
2011-2012,2012,0021100013,20111226/MEMSAS,Final,2011-12-27,02:30,1610612759,SAS,95,1610612763,MEM,82,,,,False
2011-2012,2012,0021100014,20111226/NOHPHX,Final,2011-12-27,03:00,1610612756,PHX,84,1610612740,NOH,85,,,,False
2011-2012,2012,0021100015,20111226/LALSAC,Final,2011-12-27,04:00,1610612758,SAC,100,1610612747,LAL,91,,,,False
2011-2012,2012,0021100016,20111226/PHIPOR,Final,2011-12-27,04:00,1610612757,POR,107,1610612755,PHI,103,,,,False
2011-2012,2012,0021100017,20111226/CHIGSW,Final,2011-12-27,04:30,1610612744,GSW,99,1610612741,CHI,91,,,,False
2011-2012,2012,0021100018,20111227/ATLNJN,Final,2011-12-28,01:30,1610612751,NJN,70,1610612737,ATL,106,,,,False
