id_equipe,nom_complet,abbreviation,surnom,ville,etat,annee_fondation,url_logo
1610612737,Atlanta Hawks,ATL,Hawks,Atlanta,Georgia,1949,https://cdn.nba.com/logos/nba/1610612737/global/L/logo.svg
1610612738,Boston Celtics,BOS,Celtics,Boston,Massachusetts,1946,https://cdn.nba.com/logos/nba/1610612738/global/L/logo.svg
1610612739,Cleveland Cavaliers,CLE,Cavaliers,Cleveland,Ohio,1970,https://cdn.nba.com/logos/nba/1610612739/global/L/logo.svg
1610612740,New Orleans Pelicans,NOP,Pelicans,New Orleans,Louisiana,2002,https://cdn.nba.com/logos/nba/1610612740/global/L/logo.svg
1610612741,Chicago Bulls,CHI,Bulls,Chicago,Illinois,1966,https://cdn.nba.com/logos/nba/1610612741/global/L/logo.svg
1610612742,Dallas Mavericks,DAL,Mavericks,Dallas,Texas,1980,https://cdn.nba.com/logos/nba/1610612742/global/L/logo.svg
1610612743,Denver Nuggets,DEN,Nuggets,Denver,Colorado,1976,https://cdn.nba.com/logos/nba/1610612743/global/L/logo.svg
1610612744,Golden State Warriors,GSW,Warriors,Golden State,California,1946,https://cdn.nba.com/logos/nba/1610612744/global/L/logo.svg
1610612745,Houston Rockets,HOU,Rockets,Houston,Texas,1967,https://cdn.nba.com/logos/nba/1610612745/global/L/logo.svg
1610612746,Los Angeles Clippers,LAC,Clippers,Los Angeles,California,1970,https://cdn.nba.com/logos/nba/1610612746/global/L/logo.svg
1610612747,Los Angeles Lakers,LAL,Lakers,Los Angeles,California,1948,https://cdn.nba.com/logos/nba/1610612747/global/L/logo.svg
1610612748,Miami Heat,MIA,Heat,Miami,Florida,1988,https://cdn.nba.com/logos/nba/1610612748/global/L/logo.svg
1610612749,Milwaukee Bucks,MIL,Bucks,Milwaukee,Wisconsin,1968,https://cdn.nba.com/logos/nba/1610612749/global/L/logo.svg
1610612750,Minnesota Timberwolves,MIN,Timberwolves,Minnesota,Minnesota,1989,https://cdn.nba.com/logos/nba/1610612750/global/L/logo.svg
1610612751,Brooklyn Nets,BKN,Nets,Brooklyn,New York,1976,https://cdn.nba.com/logos/nba/1610612751/global/L/logo.svg
1610612752,New York Knicks,NYK,Knicks,New York,New York,1946,https://cdn.nba.com/logos/nba/1610612752/global/L/logo.svg
1610612753,Orlando Magic,ORL,Magic,Orlando,Florida,1989,https://cdn.nba.com/logos/nba/1610612753/global/L/logo.svg
1610612754,Indiana Pacers,IND,Pacers,Indiana,Indiana,1976,https://cdn.nba.com/logos/nba/1610612754/global/L/logo.svg
1610612755,Philadelphia 76ers,PHI,76ers,Philadelphia,Pennsylvania,1949,https://cdn.nba.com/logos/nba/1610612755/global/L/logo.svg
1610612756,Phoenix Suns,PHX,Suns,Phoenix,Arizona,1968,https://cdn.nba.com/logos/nba/1610612756/global/L/logo.svg
1610612757,Portland Trail Blazers,POR,Trail Blazers,Portland,Oregon,1970,https://cdn.nba.com/logos/nba/1610612757/global/L/logo.svg
1610612758,Sacramento Kings,SAC,Kings,Sacramento,California,1948,https://cdn.nba.com/logos/nba/1610612758/global/L/logo.svg
1610612759,San Antonio Spurs,SAS,Spurs,San Antonio,Texas,1976,https://cdn.nba.com/logos/nba/1610612759/global/L/logo.svg
1610612760,Oklahoma City Thunder,OKC,Thunder,Oklahoma City,Oklahoma,1967,https://cdn.nba.com/logos/nba/1610612760/global/L/logo.svg
1610612761,Toronto Raptors,TOR,Raptors,Toronto,Ontario,1995,https://cdn.nba.com/logos/nba/1610612761/global/L/logo.svg
1610612762,Utah Jazz,UTA,Jazz,Utah,Utah,1974,https://cdn.nba.com/logos/nba/1610612762/global/L/logo.svg
1610612763,Memphis Grizzlies,MEM,Grizzlies,Memphis,Tennessee,1995,https://cdn.nba.com/logos/nba/1610612763/global/L/logo.svg
1610612764,Washington Wizards,WAS,Wizards,Washington,District of Columbia,1961,https://cdn.nba.com/logos/nba/1610612764/global/L/logo.svg
1610612765,Detroit Pistons,DET,Pistons,Detroit,Michigan,1948,https://cdn.nba.com/logos/nba/1610612765/global/L/logo.svg
1610612766,Charlotte Hornets,CHA,Hornets,Charlotte,North Carolina,1988,https://cdn.nba.com/logos/nba/1610612766/global/L/logo.svg
